Key,Value,Origin
ферзь,"— فرز ‎(ferz) «министр», от فرز ‎(farz) «великий, просвещённый»",Из персидского
хмель,— *xamel,Из персидского
ходжа,"— خواجه ‎(xâje), через тур.",Из персидского
хурма,"— خرما ‎(xormâ) «финик», из ср.-перс. hwlmʾk' ‎(xormā)",Из персидского
циркон,", ий — زرگون ‎(zargun), из ср.-перс. 𐭦𐭫𐭢𐭥𐭭 ‎(zargōn) «алый»",Из персидского
чабан,"— چوبان ‎(čubân) «пастух», из др.-перс. *fšupāna-",Из персидского
Чарджоу,— چهارجوی ‎(Čahârjuy) «четыре канала»,Из персидского
чердак,"— چارتاق ‎(čârtâq), через тур.",Из персидского
чемодан,"— جامه‌دان ‎(jâme-dân), «место для хранения одежды»: جامه ‎(jâme) «одежда» + ـدان ‎(-dân) «контейнер», также — тадж. ҷомадон, через тур.: čаmаdаn, кр.-т. čumadan",Из персидского
шакал,"— شغال (šаɣāl), из санскр. sṛgāláh «воющий»",Из персидского
шаль,"— شال ‎(šâl) «платок, шарф»",Из персидского
шальвары,"— شلوار ‎(šalvâr), шаровары",Из персидского
шаровары,"— شلوار ‎(šalvâr), из ср.-перс. šlwʾl ‎(šalwār) «штаны», из индоевроп. *skelo- «бедро» + *wero- «покрывать»",Из персидского
шах,— شاه (šāh) «царь»,Из персидского
шахматы,— شاه مات ‎(šâh mât) «шах умер»,Из персидского
шашка,— от шах,Из персидского
Эльбрус,— *Harā Bṛzatī: harā «часовой» + bṛzatī «высокий»,Из персидского
вики,( гавайский ) — wiki «быстро»,Из полинезийских языков
киви,( маори ) — kiwi (звукоподражание),Из полинезийских языков
мана,— mana «магическая сила»,Из полинезийских языков
табу,( самоанский ) — tapu «неприкосновенно»,Из полинезийских языков
татуировка,( тонганский ) — tatau «рисунок»,Из полинезийских языков
адресовать,— adresować из французского,Из польского
блат,— blat «укрыватель (краденого)»,Из польского
брыжи,— bryże,Из польского
булка,— bułka,Из польского
бунт,"— bunt «мятеж, заговор; союз», далее из ср.-в.-нем. bunt «союз»",Из польского
бурмистр,"— от немецкого Bürgermeister «бургомистр, управляющий городом»",Из польского
быдло,— bydło «скот»,Из польского
важный,"— ważny от waga «весы, вес»",Из польского
Венгрия,— Węgry,Из польского
вензель,— węzel «узел»,Из польского
дозволить,"— dozwolić, из wola «воля», из праслав. *volja, от которого в числе прочего произошли: др.-русск., ст.-слав. волꙗ (др.-греч. θέλημα, γνώμη)",Из польского
доскональный,"— doskonały «отличный, превосходный, совершенный»",Из польского
забияка,— zabijaka «драчун»,Из польского
замуровать,"— murować от mur «каменная стена» (лат. mūrus «стена, вал»)",Из польского
заядлый,,Из польского
зразы,— zrazy «дольки»,Из польского
клавиша,"— klawisz «клавиш, », (лат. clavis «ключ; задвижка, засов»)",Из польского
клянчить,— klęczeć «стоять на коленях»,Из польского
костёл,"— kościół «», из др.-в.-нем. kastel",Из польского
кролик,— królik «маленький король»,Из польского
крыжовник,— krzyżewnik,Из польского
мещанин,"— mieszczanin «горожанин», от miasto «город»",Из польского
морда,— morda,Из польского
муштра,"— musztra «показ, парад» (лат. monstrare «показывать»)",Из польского
опека,— орiеkа «забота»,Из польского
опубликовать,— publikować (лат. publicus «общественный; народный»),Из польского
отвага,"— оdwаgа от odważyć «взвесить, отвесить»",Из польского
петрушка,"— pietruszka (ср.-в.-н. petersîlje, лат. petroselinum, греч. πετροσέλινον)",Из польского
повидло,— powidło из powić и wić «вить»,Из польского
поединок,— pojedynek — суф.-преф. производное от числительного jeden «один». Поединок буквально — «борьба один на один»,Из польского
позволить,— pozwolić «разрешить»,Из польского
пончик,— pączek «круглый жареный пирожок со сладкой начинкой»,Из польского
поручик,"— porucznik восходит к чешск. poručnik, кальке термина лейтенант из франц. lieutenant, от лат. locum tenens — держащий место",Из польского
потрафить,"— potrafić «смочь, суметь»",Из польского
предместье,,Из польского
расфасовать,"— fasować (из нем. fassen «хватать, получать»)",Из польского
рисовать,"— rysować, из нем. rîʒen, др.-в.-нем. rîʒʒan «писать»",Из польского
ровесник,— rówieśnik из równy «ровный»,Из польского
рынок,"— rуnеk «круг, площадь» от ср.-в.-нем. rinc, -gеs «круг, площадь», из прагерм. формы *khrengaz",Из польского
рыцарь,"— rусеrz от ср.-в.-нем. ritter «всадник». Нем. слово калькирует франц. сhеvаliеr «всадник, »",Из польского
сбруя,"— zbroja «вооружение, снаряжение»",Из польского
сума,"— suma, sumkа «переметная », из др.-в.-нем., ср.-в.-нем. soum «вьюк», первонач. «количество груза, которое может поднять одно вьючное животное»",Из польского
таблица,"— tablica (< лат. tabula «доска, плита; »)",Из польского
уважать,"— uważać «соображать, наблюдать» (нов.-в.-нем. Wage «весы»)",Из польского
фигляр,"— figlarz, из figiel «проделка, шалость; фигля»",Из польского
форточка,"— forta, fórtkа «ворота» (лат. porta «ворота, вход»)",Из польского
фрамуга,"— framuga «ниша, слепое окно» (др.-в.-нем. *hrama «рама»)",Из польского
хлопец,— chłopiec «мальчик»,Из польского
цирюльник,"— cyrulik из лат. chīrūrgus «хирург», далее от др.-греч. χειρουργός «хирург»",Из польского
шкатулка,— szkatułka из итал. scatola «коробка» (средн. лат. castula),Из польского
шпага,"— szpaga (итал. spada «меч», др.-греч. σπάθη «бедро, широкий меч»)",Из польского
шпаргалка,— szpargał «бумажка»,Из польского
шумовка,"— szumować «снимать пену», от szum «пена», чешск. šum — то же из ср.-в.-нем. schûm «пена»",Из польского
ярмарка,"— jarmark от ср.-в.-нем. jahrmarket «», из jahr «год» и market «рынок»",Из польского
яхонт,"— jасhаnt от ср.-в.-нем. jâchant от ср.-лат. hyacinthus, далее из др.-греч. ὑάκινθος,(см.гиацинт)",Из польского
аутодафе,— auto da fé «деяние веры»,Из португальского
кашалот,— cachalote «шея»,Из португальского
кобра,— cobra из лат. colubra «змейка; червь»,Из португальского
ламбада,— lambada «удар»,Из португальского
мадера,"— madeira, из лат. materia",Из португальского
мармелад,— marmelo «айва»,Из португальского
портвейн,— через англ. portwine — от г. Порту,Из португальского
самба,"— samba, сокр. от zambacueca",Из португальского
сельва,"— selva, из лат. silva «лес»",Из португальского
фазенда,"— fazenda, из лат. facienda, faciendus «что делается», от faciō «делать»",Из португальского
фейхоа,"— через лат. Feijoa, по имени бразильского ботаника Жуана да Силвы Фейжо (порт. João da Silva Feijó)",Из португальского
фетиш,— feitiço «волшебство»,Из португальского
фламинго,— flamingo от лат. flamma «пламя»,Из португальского
брынза,— brânză «овечий сыр»,Из румынского
кукуруза,— cucuruz,Из румынского
мамалыга,— каша,Из румынского
асана,"— आसन (āsana) «сидячая поза, место для сидения, поза»",Из санскрита
аюрведа,,Из санскрита
берил,", лий — वैडूर्य (vaidūrya)",Из санскрита
брахман,", изм",Из санскрита
будда,", буддизм — बुद्ध (buddha) «пробуждённый»",Из санскрита
гуру,"— गुरू «достойный, великий, важный, тяжелый, утвердившийся в истине, непоколебимый, учитель, мастер», через хинди",Из санскрита
йога,"— योग (yoga) «сосредоточение мыслей, глубокое размышление, созерцание»",Из санскрита
камасутра,"— कामसूत्र, Kāmasūtra из kāma «любовь, желание, страсть» и sūtra «нить, сутра»",Из санскрита
камфора,— कर्पूर ‎(karpūra),Из санскрита
карма,"— कर्म, от कर्मन् «дело, действие, труд»",Из санскрита
кришна,", изм",Из санскрита
мандала,"— मण्डल «круг, диск»",Из санскрита
мандарин,— मन्त्रिन् (mantrin) «советник»,Из санскрита
мантра,— मंत्र,Из санскрита
нирвана,"— निर्वाण «угасание, прекращение, задувание»",Из санскрита
опал,— उपलः (upalaḥ) «камень»,Из санскрита
оранжевый,"— नारङ्ग (naranga-s), через арабский, лат., итал., франц.",Из санскрита
паланкин,— पल्यङ्क (palyanka) «кушетка»,Из санскрита
пали,"— पालि (pāli) «строка, текст»",Из санскрита
рис,— व्रीहिस् (vrihi-s),Из санскрита
санскрит,"— संस्कृता वाक् (saṃskṛtā vāk*), «обработанный, искусно созданный (язык)»",Из санскрита
сапфир,"— शनिप्रिय (sanipriya) «священный для Сатурна (Шани)», через франц, греч.",Из санскрита
сахар,"— शर्करा (śárkarā) «гравий; галька; песок; ный песок», через греческий",Из санскрита
свастика,"— स्वस्तिक (svastika) «благополучный, удачливый»",Из санскрита
ситец,"— छींट (chīṅṭ) от chitra-s «яркий, цветастый»",Из санскрита
Агни,,Из санскрита
Вишну,,Из санскрита
Майя,,Из санскрита
Прана,,Из санскрита
Радха,,Из санскрита
Сингапур,— सिंहपुरं (Simhapuram) «город льва»,Из санскрита
Сура,,Из санскрита
Хари,,Из санскрита
Шива,,Из санскрита
Шри-Ланка,— श्री लंका «почтенный остров»,Из санскрита
Яма,,Из санскрита
имбирь,— через греч. ζυγγίβερις — இஞ்சி «растение » + வேர் «корень»,Из тамильского
карри,— kaṟi (கறி) «соус»,Из тамильского
катамаран,— kattumaram (கட்டுமரம்) : கட்டு ‎(kaṭṭu) «привязывать» + மரம் «деревья»,Из тамильского
корунд,— kuruntam (குருந்தம்) «рубин»,Из тамильского
манго,— māṅkāy (மாங்காய்) «незрелый плод»,Из тамильского
пагода,— pagavadi (பகாவடி) «дом божества»,Из тамильского
пария,— parai «барабанщик»,Из тамильского
бандикут,— paṃdikokku ‎(పందికొక్కు) «свинья» + «крючок»,Из телугу
мангуст,— muṃgisa ‎(ముంగిస),Из телугу
Джомолунгма,— ཇོ་མོ་གླང་མ «мать Вселенной»,Из тибетского
зебу,— མཛོ་པོ་ «гибрид быка и яка»,Из тибетского
йети,— གཡའ་དྲེད «горный медведь»,Из тибетского
лама,— བླ་མ་ (bla ma) (первая буква не произносится) «верховный священник»,Из тибетского
як,— གཡག་ (gyag) (первая буква не произносится),Из тибетского
агути,"— akutí, через португальский",Из тупи
ананас,— nanas «замечательный фрукт»,Из тупи
Кайенн,— quiínia «жгучий перец»,Из тупи
капибара,— ka’apiûara: kaá «лист» + píi «стройный» + ú «есть» + ara ‎суффикс,Из тупи
кешью,"— acajuba и aka’iu, через португальский",Из тупи
коати,— kua’ti из cua («поясок») + tim («нос»),Из тупи
кугуар,— guaçu ara «похож на оленя (цветом)»,Из тупи
маниока,— manioka,Из тупи
маракуйя,— mara kuya «съедобный плод»,Из тупи
нанду,"— ñandu (nandu), звукоподражат.; крик, издаваемый животным, звучит как «нан-ду»",Из тупи
пекари,— pécari,Из тупи
петуния,"— petun «курить, табак»",Из тупи
пиранья,— pirá «рыба»,Из тупи
саймири,— çahy «обезьяна» + miri «маленький»,Из тупи
саки,— çahy «обезьяна»,Из тупи
тапиока,"— tipioca «сгусток, выжимка», далее typyʼók-a: tipi + ok",Из тупи
тапир,— tapiira «крупное млекопитающее»,Из тупи
тукан,— tucán,Из тупи
ягуар,— îaûára «собака»,Из тупи
аба,"— (тур.) aba «грубая шерстяная материя», из араб. عب (aba) «плащ из серой шерстяной материи»",Из тюркских языков
ага,"(чиновник) — *āka «старший брат», тур. ağa «начальник, командир»",Из тюркских языков
аир,"— ağır, из др.-греч. ἄκορος «»",Из тюркских языков
айва,— (тур.) ayva «»,Из тюркских языков
айда,— (тат.) әйдә «пойдём»,Из тюркских языков
айран,— ayran «пахта»,Из тюркских языков
аксакал,"— (тат.)  «старшина», «белобородый», от ак «белый» + сакал «борода»",Из тюркских языков
Алматы,— alma «яблоко» + ata «дед»,Из тюркских языков
Алсу,— «розовая вода»,Из тюркских языков
алтын,"— altyn «золото, золотой»",Из тюркских языков
алый,"— al «светло-розовый», тур. alew «пламя»",Из тюркских языков
алыча,"— (аз.) aluča, из иранского",Из тюркских языков
анаша,— (узб.) naša,Из тюркских языков
арба,— araba «телега»,Из тюркских языков
аргамак,"— (уйг.) «характер», от арга «сила, ловкость» (тат.) + мак «носитель признака»",Из тюркских языков
аркан,"— arkan «толстая верёвка, канат», балк. arqán «лассо»",Из тюркских языков
армяк,"— (тат.) ärmäk «одежда из верблюжьей шерсти», чаг. örmäk и каз. örmök, от är «вить, плести»",Из тюркских языков
артель,"— artil «народ позади, резерв». Альтернатива — из итал. artiere «ремесленник»",Из тюркских языков
архар,"— arkar «горный дикий баран», чаг. arẋar",Из тюркских языков
аршин,"— aršyn, из перс. араш «локоть, предплечье»",Из тюркских языков
арьян,— см. айран,Из тюркских языков
атаман,— ata «отец» + man «большой» (по одной из версий),Из тюркских языков
аул,"— awul, awïl, балк. ауул, баш. ауыл, каз., тат. авыл «деревня, селение», тур., аз. aɣyl «загон для овец»",Из тюркских языков
бабай,— babay «старик»,Из тюркских языков
бадья,"— «таз, лохань», из перс. бадийе",Из тюркских языков
бай,— (тур.) bay «господин»,Из тюркских языков
байбак,— baidbaχ «сурок»,Из тюркских языков
баклага,"— (тат.) баклак «сосуд для воды», от бакл «чурбан»",Из тюркских языков
баклан,"— «дикий гусь», из греч. πελεκᾶν",Из тюркских языков
балахон,"— bālāǰāme, из перс.",Из тюркских языков
балбес,"— bilmäs «он не знает», каз. bilbes",Из тюркских языков
балда,"— balta «дубина, топор, колун»",Из тюркских языков
балдеть,— от балда,Из тюркских языков
балка,— булак «грязный поток». Альтернатива — слав. бал- «место низины»,Из тюркских языков
балкар,"— balqar, от болгар(ин), булгар(ин)",Из тюркских языков
балык,— balyk «рыба»,Из тюркских языков
барабан,"— daraban то же, тур. и кр.-т. balaban «большой »",Из тюркских языков
бардак,"(кувшин) — bardak «горшок, стакан, чашка»",Из тюркских языков
барс,"— bars «тигр, пантера»",Из тюркских языков
барсук,"— borsuk «серый», тат. bursyk, barsyk, чаг. bursuk",Из тюркских языков
бархан,"—  «песчаный холм» (каз.), далее от корня бар- «двигаться»",Из тюркских языков
барыга,— от барыш,Из тюркских языков
барыш,"— baryš «мир, примирение». Альтернатива из чувашского *parǝš «подарок»",Из тюркских языков
басмач,"— (уз.) bosmachi, от bosma «налёт, набег»",Из тюркских языков
басурман,"— musulman, тур. müslim",Из тюркских языков
батрак,"— batrak, от батыр",Из тюркских языков
батыр,"— *batur «храбрец», «герой»",Из тюркских языков
баул,— baúle «тюк»,Из тюркских языков
бахрома,"— махрома «покрывало», из араб. mahrama «платок»",Из тюркских языков
баш на баш,— от baš «голова»: «голову за голову»,Из тюркских языков
башибузук,"— başıbozuk «неуправляемый»: baš «голова» + bozuk «испорченный, негодный, плохой»",Из тюркских языков
башка,— baš «голова»,Из тюркских языков
Башкортостан,"— (баш.) Башҡортостан из башҡорт «башкирский» + -стан — из перс. ستان (stān) «страна; место», также санскр. स्थान (sthā́na); восходит к праиндоевр. *steh₂- «стоять»",Из тюркских языков
башлык,"— bašlyk «шапка, начальство», тур. başlık, от baš «голова»",Из тюркских языков
башмак,— bašmak «тапочка»,Из тюркских языков
безмен,— бизмэн «весы»,Из тюркских языков
ни бельмеса,— belmäs «не знает»,Из тюркских языков
беляш,— (тат.) бәлеш «пирог»,Из тюркских языков
беркут,"— bürküt «орёл», чаг. börküt, тат. birkut",Из тюркских языков
бесталанный,— tаlаn «добыча»,Из тюркских языков
бешбармак,", бесбармак «пять(биш) пальцев»",Из тюркских языков
бешмет,"— (тат.) bišmät «стеганый полукафтан, поддевка»",Из тюркских языков
бирюк,"— böri «волк», кыпч., каз. börü, уйг. pöri, алт., тел., леб., койб. pörü, тат., тоб. büri, из иранских языков",Из тюркских языков
бисер,"— *büsrä , из араб. buser «зёрнышко из стекла»",Из тюркских языков
богатырь,"— *baɣatur, шор. paɣattyr «герой», тур., чаг. batur «смелый, военачальник»",Из тюркских языков
болгарин,"— bulɣar «смешанного происхождения, метис», от bulɣamak «мешать»",Из тюркских языков
боярин,"— bai мн.ч. bailar «богатый, влиятельный человек» (по одной из версий)",Из тюркских языков
бугай,"— buḱa «бык», тур. buɣa, чаг. boɣa, др.-тюрк., уйг. buḱa",Из тюркских языков
буерак,"— bajyr «склон, обрыв, холм, поросший деревьями»",Из тюркских языков
буза,— boza «напиток из квашеного проса»,Из тюркских языков
бунчук,"— bunčuk «раковины, бусы на шее лошади»",Из тюркских языков
бурав,"— борау, от бур- «крутить, вертеть, свивать»",Из тюркских языков
буран,"— (тат.) , от бур- «крутить, вертеть, свивать»",Из тюркских языков
бурда,"— (тат.) от бур- «крутить, вертеть, свивать»",Из тюркских языков
бурдюк,"— (аз.) бордук «мех для вина», от бор «вино»",Из тюркских языков
бурундук,"— бурындык, из марийского у́рымдо ‎(úrəmdo)",Из тюркских языков
бурхан,"— (уйг.) burχan «бог, посланник света»",Из тюркских языков
бушлат,— «телогрейка»,Из тюркских языков
бязь,"— (тур.) bäzz, из араб. bezz",Из тюркских языков
войлок,— ojlyk «покрывающее»,Из тюркских языков
гайдамак,"— haydamak «гнать, погонять», через украинский",Из тюркских языков
даг,— dag «гора»,Из тюркских языков
деньги,"— teŋge «денежная единица», тат., чаг. täŋkä «; серебряная монета», каз. teŋgä, калм. tēŋgn̥ и в чувашском — täŋgǝ",Из тюркских языков
джигит,"— jigit, тат. ǯigit «юноша, молодец», кирг. жигит «парень»",Из тюркских языков
долма,— dolmak «наполниться»,Из тюркских языков
дурман,"— derman «лекарство», баш. turman, из перс. darmān «лекарство»",Из тюркских языков
епанча,"— yapanca, кр.-т. japynǯy",Из тюркских языков
ералаш,— аралаш «вперемешку»,Из тюркских языков
ермак,— jarmak «раздроблять»,Из тюркских языков
есаул,— jasaul «командир»,Из тюркских языков
жуз,— (каз.) жүз «сто»,Из тюркских языков
изюм,"— üzüm «виноград», каз., уйг. özüm, кр.-т. jüzüm",Из тюркских языков
ичиги,,Из тюркских языков
ишак,"— ишәк «осёл», тур. eşek",Из тюркских языков
йогурт,— yoğurt,Из тюркских языков
кабак,— kаbаk «тыква»,Из тюркских языков
кабала,"— kabal «задание, дневная норма»",Из тюркских языков
кабан,— kаbаn «дикая свинья»,Из тюркских языков
кабарга,— (алт.) tabyrgy «мускусное животное»,Из тюркских языков
кабачок,— от кабак,Из тюркских языков
каблук,"— kabluk, из араб. ḱаb «пята, пятка»",Из тюркских языков
кавардак,"— kavurdak «жаркое», от kavyrmak «жарить»",Из тюркских языков
кавун,"— kaun, kavun «дыня», тат. кавын, уйг., чаг. kaɣun, аз. gavun",Из тюркских языков
каган,— kаɣаn «князь»,Из тюркских языков
кадык,"— kаdуk «твёрдый, крепкий, выступающий»",Из тюркских языков
казак,", казацкий — kаzаk «свободный, независимый человек, искатель приключений, бродяга»",Из тюркских языков
казан,", ок — kazan «котёл»",Из тюркских языков
казах,", ский — kаzаk «свободный, независимый человек, искатель приключений, бродяга»",Из тюркских языков
казна,"— azna, тат. azina",Из тюркских языков
кайма,"— kaima «край, обшивка», от kai- «обшивать»",Из тюркских языков
каймак,"— kaimak «сметана, сливки»",Из тюркских языков
казна,", чей — χаznаčу, кыпч. kаznасу «сокровищница», откуда рус. чейство",Из тюркских языков
каланча,— kala «крепость» + cha «маленькая»,Из тюркских языков
калека,"— kаlаk «изуродованный, обезображенный». Альтернатива — из перс.",Из тюркских языков
калита,"— kalta «карман, кожаный мешок, кошелек»",Из тюркских языков
калкан,— kalkan «щит; камбала»,Из тюркских языков
камка,"— kamka «ткань из шёлка, похожая на атлас»",Из тюркских языков
камса,— xamsa,Из тюркских языков
камыш,— kаmуš «тростник»,Из тюркских языков
капище,"— от ст.слав. капь «видение, призрак» от *käр «мера, образец, картина»",Из тюркских языков
капкан,"— kарkаn «петля, сеть», тур. kapan",Из тюркских языков
карагач,— кара «чёрный» + агач «дерево»,Из тюркских языков
караковый,— кара «чёрный» + кула «бурый»,Из тюркских языков
каракули,— каракулу: кара «чёрный» + кул «рука»,Из тюркских языков
каракуль,— (узб.) Qorako‘l «чёрное озеро»,Из тюркских языков
Каракум,— karakum «чёрный» + «пески»,Из тюркских языков
карамазый,— от кара «чёрный» + мазать,Из тюркских языков
карандаш,— qaradaš (караташ) «черный камень»,Из тюркских языков
карапуз,— от арбуз. Альтернатива — из франц. crapoussin,Из тюркских языков
караул,"— karaul «стража», тур. karaɣul",Из тюркских языков
карга,"— qarɣa «ворона», от кара «чёрный»",Из тюркских языков
карий,— от кара «чёрный»,Из тюркских языков
карман,— karman «кошелек»,Из тюркских языков
катык,"— kаtуχ «кислое молоко», тат., тоб. katyk",Из тюркских языков
каурый,— ковур «карий»,Из тюркских языков
кафтан,"— kaftan, из перс.",Из тюркских языков
каюк,— kаjуk «конец»,Из тюркских языков
кибитка,"— kibit «лавка, будка», кыпч., уйг. käbit, от араб. koubett",Из тюркских языков
кизил,— qizil «красный»,Из тюркских языков
кизяк,"— täzäk, каз., кир. tezäk, тат. tizäk «лошадиный помёт»",Из тюркских языков
кинжал,"— хаnǯär «кривой », аз. ẋandžar, тат. kandžar, карач. ẋindžal, из араб.",Из тюркских языков
кирпич,"— kerpiç «саман», тат. kirpič, аз. kərpic, чув. кирпĕч",Из тюркских языков
кирдык,—  «войдя»,Из тюркских языков
кисет,— киса «кожаная сумка»,Из тюркских языков
кисея,"— käsi «, кисет», из араб.",Из тюркских языков
кистень,— kistan «палка»,Из тюркских языков
Китай,"— Kуtаi, тур. Хуtаi, из кит. 契丹 (qìdān)",Из тюркских языков
кишлак,"— (узб.) «зимовка», от qish «зима»",Из тюркских языков
клобук,— от kalpak «головной убор»,Из тюркских языков
кобза,"— kopuz «бандура», тат. копыз «скрипка»",Из тюркских языков
кобзарь,"— от кобза , через украинский",Из тюркских языков
кобура,"— kubur «чехол, колчан»",Из тюркских языков
ковёр,"— küwuz «войлочное одеяло», через чувашский *kavǝ^r",Из тюркских языков
коврига,— gävräk «печенье» (вид печенья),Из тюркских языков
ковчег,"— от kорur «сосуд», koburcak «коробка»",Из тюркских языков
ковыль,— kovalik «тростник» (вид тростника). Альтернатива — готское hawi «сено»,Из тюркских языков
козак,"— kаzаk «свободный, независимый человек, искатель приключений, бродяга»",Из тюркских языков
колбаса,"— külbasty «мясо, жаренное на рашпере, жареные котлеты»",Из тюркских языков
колпак,— kalpak «шапка»,Из тюркских языков
колчан,"— kolčan, kulčan",Из тюркских языков
колымага,"— xalimaġ «калмык», из монгольского",Из тюркских языков
корсак,— karsak «степная лисица»,Из тюркских языков
кочевник,"— от köćmäk «кочевать», от köč «поездка, путешествие, переселение»",Из тюркских языков
кошма,— kоšmаk «связывать»,Из тюркских языков
Крым,"— (кр.-т.) — qırım, от лат. Cimmerium «киммерийцы» или тюрк. *qurum «защита» или др.-греч. κρημνοί ‎(krēmnoí) «скалы»",Из тюркских языков
кузов,— kyzau «»,Из тюркских языков
кулак,— от kol «рука»,Из тюркских языков
кумач,", овый — kumaš «красная хлопчатобумажная ткань», из араб.",Из тюркских языков
кумган,— kumɣan «кружка для воды»,Из тюркских языков
кумыс,"— кымыз, тур. kımız, баш. ҡымыҙ, каз. қымыз",Из тюркских языков
кунак,— kоnаk «гость»,Из тюркских языков
курага,"— (узб.) kurägä «сушёные абрикосы», от kuru- «сушить»",Из тюркских языков
курган,"— kurɣan «крепость», каз., чаг. korɣan, кир. kоrɣоn",Из тюркских языков
курдюк,— kuyruk «хвост»,Из тюркских языков
курень,"— kürän «толпа, племя, отряд воинов»",Из тюркских языков
кутерьма,"— kütürmä (так подгоняют лошадей), каз. kötörmö, тур. götürmä",Из тюркских языков
кушак,— kusak «пояс»,Из тюркских языков
Кызыл,— qizil «красный»,Из тюркских языков
Кызылкум,— qizilqum «красный» + «пески»,Из тюркских языков
кыпчак,"— (чаг.) kiрčаk, из араб. Qурcаq «страна между Уралом, Волгой и Доном»",Из тюркских языков
кушак,"— kuşak «, пояс»",Из тюркских языков
лабаз,— лапас «навес»,Из тюркских языков
лафа,"— а «польза, выгода», из арабского",Из тюркских языков
лачуга,"— алычак «хижина, шалаш»",Из тюркских языков
лиман,"— liman «гавань, порт», из др.-греч.",Из тюркских языков
лошадь,— (a-)lаšа «»,Из тюркских языков
люлька,"— lula «трубка, труба»",Из тюркских языков
мазут,"— (тур.) mazot «», далее из арабск. مَهْزُولَات (mahzūlāt) «отбросы, отходы», формы мн. ч. ж. рода مَهْزُول (mahzūl)",Из тюркских языков
майдан,"— maidan «ровное, свободное место», от перс. «площадь»",Из тюркских языков
макраме,"— (тур.) makreme, от араб. مِقْرَمَة (miqrama)",Из тюркских языков
марафет,"— (тур.) marifet «порядок», от араб. معرفة «знание»",Из тюркских языков
мишень,"— nişan «знак, признак; прицел»",Из тюркских языков
мурза,"— murzа «князь», из араб.-перс. emîrzadä «княжеский сын»",Из тюркских языков
мушмула,"— (тур.) mušmula, от греч. μούσμουλο """"",Из тюркских языков
набалдашник,"— от baldak «эфес, рукоятка»",Из тюркских языков
нагайка,"— от nоɣаi «ногаи», «татарин, живущий на востоке России»",Из тюркских языков
наждак,— niždaɤ «точильный камень»,Из тюркских языков
нардек,— (тур.) nardäŋk «сироп из гранатового сока»,Из тюркских языков
ногаец,"— от nоɣаi «ногаи», «татарин, живущий на востоке России»",Из тюркских языков
обалдеть,— от balta «топор»,Из тюркских языков
одалиска,"— odalık букв., «назначенная для комнаты»",Из тюркских языков
орда,"— orda «дворец, шатер султана, хана», тур. ordu",Из тюркских языков
отара,— utar «овечье стадо»,Из тюркских языков
оттарабанить,— от dаrаbаn «барабан»,Из тюркских языков
отчеканивать,— от čаkаn «боевой топор»,Из тюркских языков
очаг,"— ocak, аз., чаг. оčаɣ, кумык. оǯаk",Из тюркских языков
палач,"— от пала «кинжал, нож»",Из тюркских языков
палица,"— от пала «кинжал, нож»",Из тюркских языков
папаха,— рараχ «шапка»,Из тюркских языков
пахан,"— bakan «надсмотрщик», «министр»",Из тюркских языков
пахлава,"— paxlava, возможно, из персидского البا «elbā»",Из тюркских языков
пенька,"— beng «конопля», из санскрита",Из тюркских языков
рахат-лукум,"— ahat-lokum «удобные кусочки», из араб. rahat al-hulqum (‏راحة الحلقوم) «удовольствие для горла/нёба»",Из тюркских языков
ревень,"— ravand, от перс. ravend",Из тюркских языков
Руслан,"— от arslan «лев», каз. aryslan, в чувашском — arslan",Из тюркских языков
сабантуй,"— сабан-туй, «пир в конце праздника весенней пахоты»",Из тюркских языков
саврасый,— от sary «жёлтый»,Из тюркских языков
сазан,— sаzаn,Из тюркских языков
сайга,— saiɣa «серна»,Из тюркских языков
сайгак,— saiɣak «серна»,Из тюркских языков
саксаул,— казах. seksevil,Из тюркских языков
салма,— (тат.)  «клёцки»,Из тюркских языков
саман,— sаmаn «солома»,Из тюркских языков
санджак,"— (тур.) sancak «знамя, флаг»",Из тюркских языков
сапетка,— (тур.) sepet «корзина»,Из тюркских языков
саранча,"— sarynca, от sаrу «желтый»",Из тюркских языков
Саратов,"— Sаrаtаu, от sary «желтый, белый» и tаu «гора»",Из тюркских языков
севрюга,"— söirök, тар. sṻrük, из *söwrük «острый»",Из тюркских языков
слон,— arslan «лев»,Из тюркских языков
софа,"— sofa «прихожая, диван», из араб. صف ṣuffаh «подушка на верблюжьем седле»",Из тюркских языков
стакан,"— tostakan «деревянная мисочка», каз. tustaɣan «, плошка, черпак»",Из тюркских языков
Стерлитамак,(баш.) — Стәрлетамаҡ букв. «устье Стерли»,Из тюркских языков
сундук,"— sunduq, synduq, чаг. sanduk, тур., кр.-т., тат., каз. sandık «ящик», из араб.",Из тюркских языков
сургуч,— sørɣøč «красящее вещество для укрепления лезвия на рукояти ножа»,Из тюркских языков
сурок,"— suur, в чувашском — sǝvǝr",Из тюркских языков
табор,"— tabur «укрепление из повозок», чаг. tapkur «укрепление», tabɣur «пояс, ограда»",Из тюркских языков
табун,"— tabun, кр.-т. tabum «стадо, толпа», балк. tаbуn",Из тюркских языков
таволга,"— tubylɣy «, жимолость», чаг. tabulɣu",Из тюркских языков
таз,"— tаs «чаша, », из араб.",Из тюркских языков
тайга,"— taiɣa «скалистые горы» (алт., шорск.), taika (ойрот.)",Из тюркских языков
таможня,— тамга «пошлина»,Из тюркских языков
тарабанить,— dаrаbаn «барабан»,Из тюркских языков
